Filename,AmazonAPI,AzureAPI,GoogleAPI
sample-000585.wav,True,True,True
sample-000586.wav,False,False,False
sample-000587.wav,True,False,False
sample-000588.wav,False,False,False
sample-000589.wav,True,True,True
sample-000590.wav,False,False,False
sample-000591.wav,False,True,True
sample-000592.wav,False,True,False
sample-000593.wav,True,True,True
sample-000594.wav,True,True,True
sample-000595.wav,False,True,False
sample-000596.wav,False,False,False
sample-000597.wav,False,False,False
sample-000598.wav,False,False,False
sample-000599.wav,True,False,False
sample-000600.wav,True,True,False
sample-000601.wav,False,False,False
sample-000602.wav,False,False,False
sample-000603.wav,True,True,True
sample-000604.wav,True,True,False
sample-000605.wav,True,False,False
sample-000606.wav,True,True,True
sample-000607.wav,True,True,True
sample-000608.wav,True,True,False
sample-000609.wav,True,False,False
sample-000610.wav,False,False,False
sample-000611.wav,True,True,False
sample-000612.wav,False,False,False
sample-000613.wav,False,False,False
sample-000614.wav,False,False,False
sample-000615.wav,True,True,True
sample-000616.wav,True,False,False
sample-000617.wav,False,False,False
sample-000618.wav,True,False,False
sample-000619.wav,True,True,False
sample-000620.wav,True,False,False
sample-000621.wav,True,True,True
sample-000622.wav,True,True,True
sample-000623.wav,True,True,False
sample-000624.wav,False,False,False
sample-000625.wav,True,True,True
sample-000626.wav,False,True,True
sample-000627.wav,True,False,False
sample-000628.wav,True,True,False
sample-000629.wav,True,True,False
sample-000630.wav,True,True,True
sample-000631.wav,False,False,False
sample-000632.wav,False,False,False
sample-000633.wav,True,True,False
sample-000634.wav,True,True,True
sample-000635.wav,True,True,True
sample-000636.wav,True,True,True
sample-000637.wav,True,True,True
sample-000638.wav,True,True,False
sample-000639.wav,True,True,True
sample-000640.wav,True,False,True
sample-000641.wav,True,True,True
sample-000642.wav,True,True,False
sample-000643.wav,True,True,True
sample-000644.wav,False,False,False
sample-000645.wav,True,True,True
sample-000646.wav,True,True,False
sample-000647.wav,False,False,False
sample-000648.wav,False,False,False
sample-000649.wav,False,False,False
sample-000650.wav,True,True,False
sample-000651.wav,True,True,-1
sample-000652.wav,True,True,True
sample-000653.wav,False,False,True
sample-000654.wav,True,True,False
sample-000655.wav,True,True,True
sample-000656.wav,False,False,False
sample-000657.wav,True,True,False
sample-000658.wav,False,False,False
sample-000659.wav,True,True,False
sample-000660.wav,True,True,False
sample-000661.wav,False,False,False
sample-000662.wav,True,True,True
sample-000663.wav,True,True,False
sample-000664.wav,True,True,True
sample-000665.wav,False,True,False
sample-000666.wav,False,True,False
sample-000667.wav,False,True,False
sample-000668.wav,False,False,False
sample-000669.wav,False,True,False
sample-000670.wav,False,False,False
sample-000671.wav,True,True,True
sample-000672.wav,True,True,False
sample-000673.wav,True,True,False
sample-000674.wav,False,False,False
sample-000675.wav,True,True,True
sample-000676.wav,True,True,False
sample-000677.wav,False,False,False
sample-000678.wav,False,False,False
sample-000679.wav,False,True,False
sample-000680.wav,True,True,False
sample-000681.wav,True,True,False
sample-000682.wav,True,False,False
sample-000683.wav,True,True,True
sample-000684.wav,True,True,False
sample-000685.wav,True,True,False
sample-000686.wav,True,True,False
sample-000687.wav,False,True,False
sample-000688.wav,True,True,False
sample-000689.wav,True,True,False
sample-000690.wav,False,False,False
sample-000691.wav,True,True,True
sample-000692.wav,True,True,True
sample-000693.wav,False,False,False
sample-000694.wav,True,True,True
sample-000695.wav,False,False,-1
sample-000696.wav,True,True,False
sample-000697.wav,False,False,False
sample-000698.wav,True,True,True
sample-000699.wav,True,True,False
